10210,83,79,78,76,76,78,79
10252,61,63,61,63,63,62,62
10340,94,89,87,84,84,87,90
10492,83,80,78,76,77,78,80
10934,100,96,92,90,90,93,95
10958,90,85,83,81,82,83,85
11029,67,67,67,66,68,65,66
11146,96,90,88,85,86,88,91
11311,94,89,87,84,84,86,90
11362,72,72,71,69,72,70,71
11531,79,77,75,74,75,75,77
11952,80,77,76,74,75,76,78
12066,87,82,81,78,79,82,82
12245,95,90,88,85,85,88,90
12629,84,79,78,76,77,79,80
13270,92,87,85,82,83,85,86
13753,85,81,79,77,78,80,81
13859,100,92,89,87,87,90,92
13990,85,81,79,77,78,79,81
14116,100,99,94,92,91,96,98
14271,95,89,87,84,85,87,90
14285,83,79,78,76,77,78,80
14339,100,100,100,100,100,100,100
14758,87,83,81,79,79,82,83
15241,73,72,71,69,72,71,71
15344,84,80,79,77,77,79,80
15487,66,66,65,65,67,63,65
15519,79,77,76,75,75,76,77
15758,100,94,90,88,88,92,94
15836,93,89,86,83,84,86,88
16053,74,74,73,71,73,72,74
16203,63,66,64,64,66,63,64
16625,69,70,68,67,69,68,67
16995,100,94,90,89,88,92,94
17184,100,96,93,91,90,93,95
17574,82,78,77,76,75,77,78
17737,100,97,92,91,90,93,96
18310,70,70,69,68,69,68,67
18358,86,81,80,78,78,81,82
18379,82,79,77,76,76,77,79
18646,85,80,79,77,78,79,81
18721,96,90,88,85,85,88,90
18732,81,78,77,75,76,77,79
19078,92,87,85,82,83,85,87
19836,90,85,83,81,82,83,85
19925,100,92,88,87,87,90,92
20110,81,78,76,75,75,77,78
20175,86,82,80,78,79,81,82
20791,100,92,89,87,87,90,92
21159,74,73,73,72,73,72,74
21812,85,80,79,77,77,79,81
21897,78,76,75,73,74,74,76
22262,71,71,70,68,71,69,69
22363,98,92,88,86,86,90,92
23412,100,100,95,93,92,96,99
24217,100,96,92,90,90,93,95
24337,76,74,74,72,73,73,74
24379,100,94,90,89,87,91,93
24516,84,80,79,77,77,79,80
24841,83,79,77,76,76,78,79
25323,91,85,83,81,82,83,85
25549,90,85,83,81,82,83,85
25557,93,88,85,83,83,86,87
25591,94,89,86,84,84,86,89
26120,69,69,68,67,69,68,67
26720,97,91,88,86,86,88,91
27281,100,100,95,93,92,96,98
27306,90,84,82,80,81,82,84
27412,66,67,66,65,67,64,65
